Region,Mean_ws_155m_RG_B,Wind resource group
IE06_OFF,11.0299376120642,Offshore_high
IE05_OFF,10.8083276624325,Offshore_high
IS00_OFF,10.767361484305,Offshore_high
IE04_OFF,10.6441733594715,Offshore_high
NOS22_OFF,10.5919996731967,Offshore_high
UK051_OFF,10.5383163291112,Offshore_high
UK052_OFF,10.5263896908544,Offshore_high
UK053_OFF,10.5071705263684,Offshore_high
MA12_OFF,10.4746232100022,Offshore_high
DKW013_OFF,10.4424584879516,Offshore_high
DKW14_OFF,10.38669881318,Offshore_high
NOS3_OFF,10.3668532191188,Offshore_high
DKW15_OFF,10.306100268954,Offshore_high
DE015_OFF,10.2569216329263,Offshore_high
IE03_OFF,10.2509614402365,Offshore_high
UK042_OFF,10.2407471072303,Offshore_high
DE014_OFF,10.2177721331262,Offshore_high
NL013_OFF,10.1984756348283,Offshore_high
DE013_OFF,10.1766691864445,Offshore_high
NL012_OFF,10.132754457882,Offshore_high
DE012_OFF,10.1158493400329,Offshore_high
NL011_OFF,10.0380297854426,Offshore_high
NL032_OFF,9.94198970781542,Offshore_high
MA09_OFF,9.89836546985172,Offshore_high
DKW11_OFF,9.87627958312132,Offshore_high
UK012_OFF,9.8489532515265,Offshore_high
UK041_OFF,9.84247273024642,Offshore_high
UK031_OFF,9.75753917975091,Offshore_high
IE01_OFF,9.75652170425359,Offshore_high
NOS21_OFF,9.75179682373822,Offshore_high
UKNI_OFF,9.74395358347872,Offshore_high
UK043_OFF,9.73700523839379,Offshore_high
FR115_OFF,9.72814232875385,Offshore_high
UK032_OFF,9.72012035236607,Offshore_high
IE02_OFF,9.7029010409852,Offshore_high
PL052_OFF,9.65649829450462,Offshore_high
NL033_OFF,9.62510752813719,Offshore_high
ES01_OFF,9.61451725152044,Offshore_high
DE011_OFF,9.61396694879577,Offshore_high
UK02_OFF,9.59513276725788,Offshore_high
NOM1_OFF,9.58589983114657,Offshore_high
NL031_OFF,9.58309770965085,Offshore_high
FR113_OFF,9.55765569785685,Offshore_high
BE013_OFF,9.53945210423179,Offshore_high
