ResourceGroup,TechCode,TechName,Y2025,Y2030,Y2040,Y2050
Very high,34,SP277 HH100,0.15,0.30,0.50,0.70
Very high,37,SP335 HH100,0.85,0.70,0.50,0.30
High,34,SP277 HH100,0.43,0.55,0.66,0.73
High,37,SP335 HH100,0.57,0.45,0.24,0.07
High,35,SP277 HH150,0.00,0.00,0.10,0.20
Medium,34,SP277 HH100,0.63,0.70,0.63,0.51
Medium,37,SP335 HH100,0.12,0.05,0.00,0.00
Medium,32,SP199 HH150,0.00,0.00,0.11,0.23
Medium,35,SP277 HH150,0.25,0.25,0.26,0.26
Low,34,SP277 HH100,0.60,0.50,0.40,0.30
Low,32,SP199 HH150,0.00,0.10,0.20,0.35
Low,35,SP277 HH150,0.40,0.40,0.40,0.35
