Region,Mean_ws_100m_RG_B,Wind resource group
MA10,8.74314106167164,Very high
IS00,8.69636670225461,Very high
MA12,8.64227064691309,Very high
MA11,8.57652034918587,Very high
EG06,8.55655540073539,Very high
IE00,8.47357237345836,Very high
NON1,8.469530483572,Very high
UKNI,8.42158354716387,Very high
NON2,8.33491994923796,Very high
NOM1,8.31710354955659,Very high
NON3,8.07464266646071,Very high
DZ10,8.06395530593516,Very high
NOS32,8.04604302870054,Very high
NOS22,7.99833715562987,Very high
NOM2,7.8905607312035,Very high
NOS14,7.83516561841245,Very high
UK02,7.82941385158465,Very high
NOS33,7.82073386548666,Very high
EG05,7.79476917599525,Very high
UK04,7.78622079774539,Very high
UK03,7.71032613124228,Very high
TN08,7.651359774115,Very high
UK05,7.62156237930387,Very high
NOM3,7.58612363720894,Very high
LY02,7.55885048778198,Very high
EG09,7.46869917950862,High
GR03,7.45461897685421,High
EG08,7.40511148157908,High
TN07,7.37685236606818,High
DZ06,7.37503594185385,High
NOS12,7.3579290959451,High
UK01,7.33594145722784,High
DKE1,7.31107083575634,High
NOS31,7.28141696333382,High
DKW1,7.26114042063434,High
LY03,7.25951778246226,High
LY01,7.23258518890383,High
DZ08,7.21883159255288,High
NOS11,7.1709580307601,High
DZ05,7.16348186650432,High
LY04,7.15896235007632,High
DZ03,7.15170226233312,High
EG10,7.11837673805457,High
NL03,7.09635911732815,High
LY06,7.07001410569771,High
DZ07,7.05851685763006,High
MA09,7.04042655481452,High
NOS21,7.03403316599428,High
DZ09,7.0306910126057,High
LY05,6.9957161248213,High
FR20,6.99379885815706,High
FR24,6.99133057776647,High
EG01,6.95445192371762,High
FR14,6.93059626962638,High
NL01,6.92620816402559,High
FR22,6.92429321905818,High
TN06,6.91609864190352,High
FR21,6.91243138311405,High
FR23,6.90934936956337,High
DE01,6.90230103659349,High
MA02,6.88052581609969,High
FR17,6.85804950388893,High
EG02,6.83076507005525,High
BE01,6.82306901743961,High
FR11,6.81492424053815,High
FR13,6.80992975046037,High
FR07,6.80983916718156,High
TN05,6.80674054254198,High
DE02,6.80391363775411,High
EG11,6.80123642494124,High
SY03,6.79851179278428,Medium
EG03,6.79270846235856,Medium
EG07,6.79180421467253,Medium
TN02,6.78296982066706,Medium
FR12,6.76872245175184,Medium
DZ11,6.76163645613748,Medium
NOS15,6.7367134673863,Medium
SY04,6.7328284549078,Medium
HR01,6.70053397331056,Medium
BE02,6.69742322938625,Medium
TR02,6.6949147948923,Medium
NL02,6.68938752256427,Medium
PL05,6.68727442165806,Medium
FR15,6.684465070661,Medium
DE03,6.64094376817257,Medium
SE04,6.62262933158271,Medium
LT00,6.60821403951927,Medium
FR02,6.60435325031499,Medium
DE04,6.60215595045552,Medium
JO05,6.60119457715466,Medium
NL04,6.57142522867146,Medium
PL01,6.5695859994003,Medium
FR25,6.56578564685251,Medium
BE03,6.52419215157132,Medium
UA02,6.50416184578759,Medium
TN01,6.50295085819946,Medium
FR01,6.48784472238376,Medium
PL04,6.48766334396428,Medium
FR18,6.48330354198469,Medium
JO06,6.47434945346006,Medium
JO04,6.46342049835235,Medium
AT01,6.44052531075089,Medium
EE00,6.41494945724601,Medium
PL02,6.41187911351191,Medium
TR04,6.39193348674008,Medium
FR26,6.38789662929176,Medium
MA08,6.37196520528943,Medium
FI02,6.35533667693417,Medium
TR01,6.35208474337307,Medium
LV00,6.35179232542221,Medium
DZ04,6.33748913250224,Medium
ES05,6.33271772249279,Medium
SE03,6.33113807894769,Medium
SE01,6.3157430158283,Medium
ES04,6.26555212831044,Medium
FR09,6.26462631857115,Medium
JO02,6.25590409988248,Medium
FR19,6.21956836943616,Medium
CZ02,6.21427877080759,Medium
FR08,6.20111142388118,Medium
GR02,6.19514858784013,Medium
FR04,6.18939415403673,Medium
SE02,6.15375049126505,Medium
ES01,6.15296043014466,Medium
FR05,6.13481526041288,Medium
TN04,6.12691491816288,Medium
SY02,6.11084177842796,Medium
MD00,6.1089453322248,Medium
DZ01,6.09214257635507,Medium
DE05,6.08979591541276,Medium
FI01,6.07570021625354,Medium
PL03,6.06778786860023,Medium
ITS1,6.0509184730198,Medium
NOS13,6.04289048787284,Medium
DZ02,6.01468883250345,Medium
JO03,5.97674364232754,Low
UA01,5.96861643648082,Low
AT04,5.94004080346975,Low
ITSA,5.9332126400802,Low
RO03,5.92621033610162,Low
ES03,5.88394252925783,Low
HU02,5.88368637390661,Low
CZ01,5.87813973901165,Low
TN03,5.87274509037823,Low
SY01,5.85722619575489,Low
DE07,5.83569933745851,Low
JO01,5.79863932195125,Low
FR03,5.76618900605146,Low
PT02,5.76560438125439,Low
FR16,5.74298855855201,Low
SK00,5.74169521364881,Low
