TimePeriod,SSP,ClimateModel,ClimateYear,CodeName
Projection,SSP245,AWCM,2026,WS01
Projection,SSP245,AWCM,2030,WS02
Projection,SSP245,AWCM,2036,WS03
Projection,SSP245,AWCM,2040,WS04
Projection,SSP245,AWCM,2041,WS05
Projection,SSP245,AWCM,2046,WS06
Projection,SSP245,AWCM,2052,WS07
Projection,SSP245,BCCS,2026,WS08
Projection,SSP245,BCCS,2035,WS09
Projection,SSP245,BCCS,2040,WS10
Projection,SSP245,BCCS,2041,WS11
Projection,SSP245,BCCS,2044,WS12
Projection,SSP245,CMR5,2031,WS13
Projection,SSP245,CMR5,2037,WS14
Projection,SSP245,CMR5,2046,WS15
Projection,SSP245,CMR5,2048,WS16
Projection,SSP245,CMR5,2051,WS17
Projection,SSP245,ECE3,2030,WS18
Projection,SSP245,ECE3,2033,WS19
Projection,SSP245,ECE3,2035,WS20
Projection,SSP245,ECE3,2036,WS21
Projection,SSP245,ECE3,2042,WS22
Projection,SSP245,ECE3,2049,WS23
Projection,SSP245,ECE3,2053,WS24
Projection,SSP245,MEHR,2028,WS25
Projection,SSP245,MEHR,2034,WS26
Projection,SSP245,MEHR,2042,WS27
Projection,SSP245,MEHR,2047,WS28
Projection,SSP245,MEHR,2051,WS29
Projection,SSP245,MRM2,2027,WS30
Projection,SSP245,MRM2,2028,WS31
Projection,SSP245,MRM2,2030,WS32
Projection,SSP245,MRM2,2036,WS33
Projection,SSP245,MRM2,2040,WS34
Projection,SSP245,MRM2,2052,WS35
Projection,SSP245,MRM2,2055,WS36
